suicide assessment,isPartial,date
0,False,2015-09-20
0,False,2015-09-27
0,False,2015-10-04
0,False,2015-10-11
0,False,2015-10-18
0,False,2015-10-25
0,False,2015-11-01
0,False,2015-11-08
0,False,2015-11-15
0,False,2015-11-22
0,False,2015-11-29
100,False,2015-12-06
0,False,2015-12-13
0,False,2015-12-20
0,False,2015-12-27
0,False,2016-01-03
0,False,2016-01-10
0,False,2016-01-17
0,False,2016-01-24
0,False,2016-01-31
0,False,2016-02-07
88,False,2016-02-14
0,False,2016-02-21
0,False,2016-02-28
89,False,2016-03-06
92,False,2016-03-13
88,False,2016-03-20
0,False,2016-03-27
0,False,2016-04-03
89,False,2016-04-10
0,False,2016-04-17
0,False,2016-04-24
0,False,2016-05-01
0,False,2016-05-08
0,False,2016-05-15
96,False,2016-05-22
0,False,2016-05-29
0,False,2016-06-05
0,False,2016-06-12
0,False,2016-06-19
0,False,2016-06-26
0,False,2016-07-03
0,False,2016-07-10
0,False,2016-07-17
0,False,2016-07-24
0,False,2016-07-31
0,False,2016-08-07
0,False,2016-08-14
0,False,2016-08-21
0,False,2016-08-28
0,False,2016-09-04
0,False,2016-09-11
0,False,2016-09-18
0,False,2016-09-25
0,False,2016-10-02
92,False,2016-10-09
0,False,2016-10-16
0,False,2016-10-23
0,False,2016-10-30
0,False,2016-11-06
0,False,2016-11-13
0,False,2016-11-20
0,False,2016-11-27
0,False,2016-12-04
0,False,2016-12-11
89,False,2016-12-18
0,False,2016-12-25
86,False,2017-01-01
0,False,2017-01-08
0,False,2017-01-15
0,False,2017-01-22
0,False,2017-01-29
0,False,2017-02-05
76,False,2017-02-12
0,False,2017-02-19
0,False,2017-02-26
76,False,2017-03-05
0,False,2017-03-12
0,False,2017-03-19
78,False,2017-03-26
78,False,2017-04-02
0,False,2017-04-09
0,False,2017-04-16
79,False,2017-04-23
79,False,2017-04-30
0,False,2017-05-07
85,False,2017-05-14
0,False,2017-05-21
0,False,2017-05-28
0,False,2017-06-04
0,False,2017-06-11
0,False,2017-06-18
0,False,2017-06-25
0,False,2017-07-02
88,False,2017-07-09
87,False,2017-07-16
0,False,2017-07-23
0,False,2017-07-30
0,False,2017-08-06
0,False,2017-08-13
0,False,2017-08-20
0,False,2017-08-27
0,False,2017-09-03
0,False,2017-09-10
0,False,2017-09-17
0,False,2017-09-24
0,False,2017-10-01
81,False,2017-10-08
0,False,2017-10-15
78,False,2017-10-22
0,False,2017-10-29
77,False,2017-11-05
0,False,2017-11-12
0,False,2017-11-19
0,False,2017-11-26
0,False,2017-12-03
0,False,2017-12-10
0,False,2017-12-17
0,False,2017-12-24
0,False,2017-12-31
0,False,2018-01-07
0,False,2018-01-14
0,False,2018-01-21
74,False,2018-01-28
0,False,2018-02-04
73,False,2018-02-11
0,False,2018-02-18
0,False,2018-02-25
0,False,2018-03-04
0,False,2018-03-11
0,False,2018-03-18
0,False,2018-03-25
74,False,2018-04-01
0,False,2018-04-08
0,False,2018-04-15
74,False,2018-04-22
0,False,2018-04-29
0,False,2018-05-06
76,False,2018-05-13
0,False,2018-05-20
81,False,2018-05-27
80,False,2018-06-03
0,False,2018-06-10
0,False,2018-06-17
