suicide safety assessment,isPartial,date
0,False,2019-01-06
33,False,2019-01-13
0,False,2019-01-20
0,False,2019-01-27
32,False,2019-02-03
0,False,2019-02-10
0,False,2019-02-17
32,False,2019-02-24
32,False,2019-03-03
0,False,2019-03-10
33,False,2019-03-17
100,False,2019-03-24
0,False,2019-03-31
0,False,2019-04-07
0,False,2019-04-14
34,False,2019-04-21
0,False,2019-04-28
0,False,2019-05-05
52,False,2019-05-12
0,False,2019-05-19
0,False,2019-05-26
0,False,2019-06-02
0,False,2019-06-09
34,False,2019-06-16
35,False,2019-06-23
0,False,2019-06-30
0,False,2019-07-07
0,False,2019-07-14
0,False,2019-07-21
0,False,2019-07-28
0,False,2019-08-04
0,False,2019-08-11
0,False,2019-08-18
0,False,2019-08-25
0,False,2019-09-01
0,False,2019-09-08
31,False,2019-09-15
0,False,2019-09-22
94,False,2019-09-29
0,False,2019-10-06
32,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
30,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
29,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
0,False,2020-02-02
29,False,2020-02-09
0,False,2020-02-16
28,False,2020-02-23
57,False,2020-03-01
28,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
27,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
25,False,2020-04-19
0,False,2020-04-26
26,False,2020-05-03
0,False,2020-05-10
27,False,2020-05-17
28,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
28,False,2020-06-14
28,False,2020-06-21
29,False,2020-06-28
0,False,2020-07-05
29,False,2020-07-12
30,False,2020-07-19
29,False,2020-07-26
29,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
0,False,2020-08-23
41,False,2020-08-30
