suicide hotline text,isPartial,date
0,False,2019-09-08
14,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
14,False,2019-11-10
14,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
14,False,2019-12-08
15,False,2019-12-15
16,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
13,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
0,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
13,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
12,False,2020-05-10
0,False,2020-05-17
13,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
12,False,2020-06-14
0,False,2020-06-21
13,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
0,False,2020-08-23
100,True,2020-08-30
