suicide postvention,isPartial,date
0,False,2019-01-06
0,False,2019-01-13
0,False,2019-01-20
0,False,2019-01-27
0,False,2019-02-03
0,False,2019-02-10
0,False,2019-02-17
34,False,2019-02-24
0,False,2019-03-03
35,False,2019-03-10
36,False,2019-03-17
0,False,2019-03-24
35,False,2019-03-31
0,False,2019-04-07
0,False,2019-04-14
37,False,2019-04-21
35,False,2019-04-28
36,False,2019-05-05
37,False,2019-05-12
37,False,2019-05-19
0,False,2019-05-26
0,False,2019-06-02
36,False,2019-06-09
0,False,2019-06-16
37,False,2019-06-23
0,False,2019-06-30
73,False,2019-07-07
55,False,2019-07-14
56,False,2019-07-21
37,False,2019-07-28
92,False,2019-08-04
72,False,2019-08-11
71,False,2019-08-18
52,False,2019-08-25
50,False,2019-09-01
33,False,2019-09-08
65,False,2019-09-15
0,False,2019-09-22
33,False,2019-09-29
100,False,2019-10-06
67,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
33,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
35,False,2019-11-24
32,False,2019-12-01
33,False,2019-12-08
33,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
64,False,2020-01-05
0,False,2020-01-12
32,False,2020-01-19
0,False,2020-01-26
0,False,2020-02-02
63,False,2020-02-09
31,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
0,False,2020-03-15
29,False,2020-03-22
28,False,2020-03-29
28,False,2020-04-05
28,False,2020-04-12
27,False,2020-04-19
28,False,2020-04-26
0,False,2020-05-03
0,False,2020-05-10
0,False,2020-05-17
29,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
30,False,2020-06-14
0,False,2020-06-21
31,False,2020-06-28
0,False,2020-07-05
31,False,2020-07-12
31,False,2020-07-19
32,False,2020-07-26
31,False,2020-08-02
93,False,2020-08-09
31,False,2020-08-16
89,False,2020-08-23
58,False,2020-08-30
