suicide survivor tattoo,isPartial,date
0,False,2015-09-20
0,False,2015-09-27
0,False,2015-10-04
47,False,2015-10-11
0,False,2015-10-18
0,False,2015-10-25
0,False,2015-11-01
46,False,2015-11-08
0,False,2015-11-15
0,False,2015-11-22
0,False,2015-11-29
0,False,2015-12-06
0,False,2015-12-13
0,False,2015-12-20
0,False,2015-12-27
0,False,2016-01-03
0,False,2016-01-10
0,False,2016-01-17
38,False,2016-01-24
0,False,2016-01-31
0,False,2016-02-07
0,False,2016-02-14
37,False,2016-02-21
37,False,2016-02-28
0,False,2016-03-06
37,False,2016-03-13
38,False,2016-03-20
0,False,2016-03-27
0,False,2016-04-03
0,False,2016-04-10
0,False,2016-04-17
0,False,2016-04-24
0,False,2016-05-01
0,False,2016-05-08
0,False,2016-05-15
39,False,2016-05-22
0,False,2016-05-29
0,False,2016-06-05
0,False,2016-06-12
0,False,2016-06-19
40,False,2016-06-26
0,False,2016-07-03
0,False,2016-07-10
0,False,2016-07-17
0,False,2016-07-24
41,False,2016-07-31
0,False,2016-08-07
43,False,2016-08-14
0,False,2016-08-21
0,False,2016-08-28
39,False,2016-09-04
56,False,2016-09-11
38,False,2016-09-18
75,False,2016-09-25
49,False,2016-10-02
38,False,2016-10-09
38,False,2016-10-16
0,False,2016-10-23
0,False,2016-10-30
0,False,2016-11-06
36,False,2016-11-13
0,False,2016-11-20
34,False,2016-11-27
34,False,2016-12-04
35,False,2016-12-11
38,False,2016-12-18
0,False,2016-12-25
36,False,2017-01-01
0,False,2017-01-08
35,False,2017-01-15
34,False,2017-01-22
34,False,2017-01-29
34,False,2017-02-05
0,False,2017-02-12
0,False,2017-02-19
32,False,2017-02-26
32,False,2017-03-05
33,False,2017-03-12
34,False,2017-03-19
0,False,2017-03-26
34,False,2017-04-02
35,False,2017-04-09
34,False,2017-04-16
34,False,2017-04-23
34,False,2017-04-30
35,False,2017-05-07
37,False,2017-05-14
0,False,2017-05-21
0,False,2017-05-28
36,False,2017-06-04
37,False,2017-06-11
36,False,2017-06-18
38,False,2017-06-25
0,False,2017-07-02
0,False,2017-07-09
0,False,2017-07-16
0,False,2017-07-23
0,False,2017-07-30
36,False,2017-08-06
36,False,2017-08-13
0,False,2017-08-20
35,False,2017-08-27
0,False,2017-09-03
0,False,2017-09-10
68,False,2017-09-17
34,False,2017-09-24
34,False,2017-10-01
0,False,2017-10-08
0,False,2017-10-15
0,False,2017-10-22
0,False,2017-10-29
0,False,2017-11-05
33,False,2017-11-12
72,False,2017-11-19
0,False,2017-11-26
33,False,2017-12-03
0,False,2017-12-10
0,False,2017-12-17
0,False,2017-12-24
0,False,2017-12-31
0,False,2018-01-07
0,False,2018-01-14
0,False,2018-01-21
0,False,2018-01-28
32,False,2018-02-04
0,False,2018-02-11
33,False,2018-02-18
32,False,2018-02-25
0,False,2018-03-04
0,False,2018-03-11
33,False,2018-03-18
0,False,2018-03-25
0,False,2018-04-01
50,False,2018-04-08
33,False,2018-04-15
0,False,2018-04-22
0,False,2018-04-29
33,False,2018-05-06
0,False,2018-05-13
0,False,2018-05-20
0,False,2018-05-27
34,False,2018-06-03
34,False,2018-06-10
35,False,2018-06-17
