frighten,isPartial,date
0,False,2019-09-08
0,False,2019-09-15
0,False,2019-09-22
33,False,2019-09-29
34,False,2019-10-06
33,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
31,False,2019-11-17
32,False,2019-11-24
31,False,2019-12-01
0,False,2019-12-08
100,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
60,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
30,False,2020-02-02
0,False,2020-02-09
0,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
28,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
27,False,2020-04-19
0,False,2020-04-26
27,False,2020-05-03
0,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
27,False,2020-05-31
0,False,2020-06-07
28,False,2020-06-14
29,False,2020-06-21
0,False,2020-06-28
60,False,2020-07-05
30,False,2020-07-12
61,False,2020-07-19
0,False,2020-07-26
28,False,2020-08-02
0,False,2020-08-09
28,False,2020-08-16
28,False,2020-08-23
0,True,2020-08-30
