suicide attempt,isPartial,date
0,False,2019-09-22
50,False,2019-09-29
50,False,2019-10-06
0,False,2019-10-13
0,False,2019-10-20
50,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
51,False,2019-11-24
0,False,2019-12-01
49,False,2019-12-08
50,False,2019-12-15
55,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
45,False,2020-01-12
47,False,2020-01-19
69,False,2020-01-26
45,False,2020-02-02
46,False,2020-02-09
44,False,2020-02-16
44,False,2020-02-23
0,False,2020-03-01
67,False,2020-03-08
44,False,2020-03-15
42,False,2020-03-22
0,False,2020-03-29
43,False,2020-04-05
42,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
42,False,2020-05-10
41,False,2020-05-17
42,False,2020-05-24
42,False,2020-05-31
0,False,2020-06-07
43,False,2020-06-14
0,False,2020-06-21
0,False,2020-06-28
0,False,2020-07-05
91,False,2020-07-12
46,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
47,False,2020-08-09
0,False,2020-08-16
0,False,2020-08-23
87,False,2020-08-30
44,False,2020-09-06
100,True,2020-09-13
