hallucinate,isPartial,date
60,False,2019-08-25
0,False,2019-09-01
0,False,2019-09-08
58,False,2019-09-15
59,False,2019-09-22
58,False,2019-09-29
60,False,2019-10-06
0,False,2019-10-13
59,False,2019-10-20
0,False,2019-10-27
58,False,2019-11-03
0,False,2019-11-10
58,False,2019-11-17
0,False,2019-11-24
57,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
62,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
56,False,2020-01-26
0,False,2020-02-02
56,False,2020-02-09
55,False,2020-02-16
81,False,2020-02-23
0,False,2020-03-01
55,False,2020-03-08
54,False,2020-03-15
0,False,2020-03-22
100,False,2020-03-29
50,False,2020-04-05
48,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
76,False,2020-05-10
53,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
54,False,2020-06-07
0,False,2020-06-14
0,False,2020-06-21
60,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
59,False,2020-08-02
59,False,2020-08-09
0,True,2020-08-16
