violence,isPartial,date
30,False,2019-08-25
34,False,2019-09-01
37,False,2019-09-08
38,False,2019-09-15
38,False,2019-09-22
44,False,2019-09-29
42,False,2019-10-06
41,False,2019-10-13
42,False,2019-10-20
38,False,2019-10-27
39,False,2019-11-03
38,False,2019-11-10
43,False,2019-11-17
31,False,2019-11-24
40,False,2019-12-01
38,False,2019-12-08
31,False,2019-12-15
20,False,2019-12-22
26,False,2019-12-29
30,False,2020-01-05
33,False,2020-01-12
32,False,2020-01-19
35,False,2020-01-26
38,False,2020-02-02
36,False,2020-02-09
36,False,2020-02-16
42,False,2020-02-23
38,False,2020-03-01
34,False,2020-03-08
25,False,2020-03-15
28,False,2020-03-22
30,False,2020-03-29
34,False,2020-04-05
32,False,2020-04-12
33,False,2020-04-19
35,False,2020-04-26
35,False,2020-05-03
31,False,2020-05-10
28,False,2020-05-17
49,False,2020-05-24
100,False,2020-05-31
46,False,2020-06-07
37,False,2020-06-14
36,False,2020-06-21
34,False,2020-06-28
37,False,2020-07-05
32,False,2020-07-12
38,False,2020-07-19
35,False,2020-07-26
34,False,2020-08-02
34,False,2020-08-09
35,True,2020-08-16
